84.46100;-0.40234;-0.13403;0.78223;56.33545;61.34033;37.41455
84.47200;-0.38184;-0.06677;0.75635;54.62646;69.76318;35.40039
84.48199;-0.36694;0.00769;0.73853;48.27880;81.17675;32.89795
84.49300;-0.37183;0.05298;0.72461;37.47559;93.62792;30.15137
84.50400;-0.39465;0.06519;0.70984;24.41406;102.78320;28.86963
84.51400;-0.41577;0.06311;0.69617;12.39014;105.52978;31.06689
84.52500;-0.42566;0.06006;0.68518;-1.34277;90.57616;43.57910
84.53600;-0.41345;0.05664;0.67371;-2.19727;76.66016;49.80468
84.54600;-0.36914;0.06006;0.65906;-0.61035;63.35449;53.16162
84.55700;-0.30542;0.07971;0.64209;1.15967;54.68750;52.24609
84.56700;-0.24988;0.10681;0.62866;1.46484;52.12402;46.93603
84.57800;-0.22205;0.13159;0.62488;-0.18311;54.26025;38.69629
84.58900;-0.22229;0.15564;0.62939;-3.35693;58.65478;29.41894
84.59900;-0.23914;0.18115;0.63086;-7.56836;62.86621;20.99609
84.61000;-0.28455;0.23169;0.60303;-12.20703;65.97900;14.22119
84.62099;-0.31055;0.23792;0.58765;-17.02881;68.23730;8.48389
84.63100;-0.33044;0.23145;0.57239;-21.05713;69.33594;3.29590
84.64200;-0.34290;0.23035;0.55981;-23.13232;68.66455;-1.09863
84.65200;-0.35339;0.24072;0.55408;-23.07129;66.34521;-4.39453
84.66299;-0.36060;0.25745;0.55078;-21.85058;63.17138;-7.69043
84.67400;-0.35803;0.27698;0.54529;-20.69092;59.57031;-12.51221
84.68400;-0.34119;0.29626;0.53406;-20.14160;56.57959;-19.53125
84.69500;-0.31592;0.32190;0.52112;-22.03369;57.92236;-38.39111
84.70500;-0.29712;0.35291;0.51306;-25.08545;63.23242;-48.95019
84.71600;-0.28259;0.37537;0.50635;-28.99170;71.35010;-59.99755
84.73700;-0.27832;0.37610;0.49951;-36.92627;92.04101;-81.66503
84.74800;-0.30688;0.35864;0.51245;-39.18457;100.28075;-91.24755
84.75800;-0.36133;0.33643;0.53406;-38.75732;103.08837;-99.42626
84.76900;-0.53699;0.28674;0.58179;-35.21729;98.32763;-106.26220
84.78000;-0.60413;0.27588;0.59949;-28.68652;86.18163;-111.38915
84.79000;-0.63562;0.28381;0.60828;-19.95850;69.51904;-114.37988
84.80099;-0.64258;0.29626;0.60413;-10.55908;52.36816;-115.17333
84.81200;-0.63513;0.30103;0.58984;-1.83105;38.08594;-114.62402
84.82200;-0.64136;0.33423;0.59436;5.61523;28.19824;-113.95263
84.83300;-0.73291;0.29980;0.65491;13.24463;22.88818;-111.08398
84.84299;-0.75391;0.25818;0.66870;30.15137;-2.01416;-98.69384
84.85400;-0.64160;0.37036;0.61780;31.86035;-17.70020;-103.08837
84.86500;-0.54114;0.44092;0.57410;32.22656;-20.69092;-114.50195
84.87500;-0.49048;0.39905;0.52271;33.38623;-13.12256;-129.27246
84.88600;-0.53052;0.35779;0.49377;35.46143;-3.05176;-139.52637
84.89700;-0.66833;0.30493;0.52014;38.81836;2.38037;-140.44189
84.90700;-0.85535;0.24451;0.59656;45.22705;1.03760;-132.75146
84.91800;-1.01965;0.22839;0.66785;55.11474;-2.56348;-118.53027
84.92800;-1.17297;0.30322;0.65906;64.88037;-4.45557;-100.52489
84.93900;-1.14246;0.36353;0.61987;69.64111;-3.78418;-84.04540
84.95000;-1.05432;0.41577;0.57581;68.35938;0.61035;-73.24219
84.96000;-0.94153;0.44165;0.51794;62.62207;10.19287;-69.45801
84.97100;-0.83545;0.44287;0.45020;53.46679;25.08545;-71.83838
84.98199;-0.75244;0.42712;0.38452;41.74804;43.82324;-78.49121
84.99200;-0.69995;0.40051;0.32751;28.62549;63.59863;-87.46337
85.00300;-0.68445;0.37048;0.28113;2.80762;91.06445;-107.36083
85.01400;-0.69885;0.34119;0.24756;-10.13183;92.04101;-117.85888
85.02399;-0.72339;0.31873;0.23499;-24.47510;82.70263;-128.54004
85.04600;-0.75464;0.28064;0.26147;-56.27441;40.34423;-148.68164
85.05600;-0.75366;0.24023;0.27209;-72.08252;17.02881;-157.53174
85.06700;-0.74866;0.17297;0.28699;-86.18163;-0.67139;-166.44286
85.07800;-0.77478;-0.01562;0.32996;-96.86279;-9.64355;-175.72020
85.08800;-0.79980;-0.11255;0.35327;-102.78320;-9.88770;-183.34959
85.09900;-0.82959;-0.20483;0.37854;-102.60009;-3.29590;-185.66893
85.10900;-0.86072;-0.27454;0.39453;-95.64208;7.26318;-180.23680
85.12000;-0.89441;-0.30786;0.39551;-83.31298;18.85986;-167.23631
85.13100;-0.93530;-0.30847;0.39014;-69.70215;28.80859;-149.71924
85.14100;-0.98584;-0.29517;0.39099;-58.71582;34.48486;-131.89697
85.15200;-1.04041;-0.29272;0.40356;-51.69677;23.62060;-109.86327
85.16299;-1.07568;-0.30798;0.42078;-53.71093;7.26318;-107.84911
85.17300;-1.07764;-0.32849;0.43274;-57.18994;-12.08496;-109.00878
85.18400;-1.05029;-0.35071;0.43665;-60.72998;-30.15137;-111.02294
85.19400;-0.99207;-0.37891;0.43201;-62.68310;-43.27392;-112.42675
85.20500;-0.91089;-0.41492;0.42725;-61.76757;-49.37744;-111.75536
85.21600;-0.84387;-0.46497;0.43372;-57.67822;-48.76709;-108.15429
85.22600;-0.82654;-0.53479;0.45447;-51.20849;-43.21289;-102.41698
85.23700;-0.85999;-0.63806;0.51685;-43.76220;-34.60693;-96.43554
85.24800;-0.88977;-0.65540;0.52979;-37.35352;-24.53613;-91.85790
